NO,GENDER ,1,2,3,4,5,6,7,8,9,10,TOTAL ,RESULT
341,P,2,4,4,3,2,2,1,2,4,3,27,0
342,P,3,3,4,2,3,3,4,3,4,3,32,0
343,P,3,3,4,4,3,4,2,2,4,5,34,1
344,P,5,5,5,5,5,3,4,3,4,5,44,1
345,P,4,3,2,3,2,2,2,4,4,3,29,0
346,P,3,4,2,2,2,2,2,2,4,2,25,0
347,P,4,3,2,4,3,1,1,3,3,5,29,0
348,L,4,2,2,1,3,4,5,4,4,3,32,1
349,P,5,4,5,2,2,2,2,2,3,5,32,0
350,L,4,4,2,6,3,4,3,3,4,4,37,1
351,P,5,2,5,4,3,2,2,5,5,5,38,1
352,P,3,3,4,3,2,2,2,5,2,5,31,0
353,P,4,2,4,4,5,4,3,3,3,2,34,1
354,P,2,2,2,2,2,5,3,3,5,5,31,0
355,P,5,3,3,6,4,3,3,2,5,4,38,1
356,P,5,3,4,5,4,3,4,4,5,4,41,1
357,P,5,5,3,4,2,4,2,2,2,1,30,0
358,P,4,5,4,6,6,5,5,5,5,5,50,1
359,P,4,2,2,4,4,2,5,3,3,4,33,1
360,P,5,2,4,5,5,5,5,5,5,5,46,1
361,P,5,6,5,5,4,4,4,3,4,3,43,1
362,P,4,3,4,5,4,5,2,3,5,6,41,1
363,P,2,2,4,3,3,2,2,1,1,3,23,0
364,P,4,6,3,5,3,3,5,5,5,5,44,1
365,L,3,3,2,2,4,1,1,2,2,3,23,0
366,L,5,5,5,5,5,6,6,6,6,6,55,1
367,L,3,4,2,5,4,5,5,1,5,6,40,1
368,P,5,4,6,6,5,3,6,6,6,5,52,1
369,L,4,2,2,5,4,5,5,2,4,5,38,1
370,L,3,4,3,3,2,3,2,4,3,3,30,0
371,P,4,5,4,6,5,4,5,4,5,4,46,1
372,L,4,4,2,5,3,2,2,5,4,4,35,1
373,P,5,1,1,2,1,1,1,4,4,1,21,0
374,L,2,2,2,3,2,1,1,5,2,2,22,0
375,L,3,3,4,3,4,2,2,4,5,5,35,1
376,L,2,2,2,4,3,2,2,2,2,5,26,0
377,L,4,3,1,6,5,6,6,2,6,6,45,1
378,P,3,3,3,5,2,2,2,3,3,5,31,0
379,P,2,5,5,4,4,4,3,3,2,1,33,1
380,L,5,5,2,4,3,2,2,3,3,2,31,1
381,L,4,2,2,2,2,2,2,4,4,5,29,0
382,P,3,3,3,4,3,3,2,3,2,3,29,0
383,P,5,5,5,4,4,4,4,4,5,5,45,1
384,P,5,6,5,6,6,4,4,4,5,5,50,1
385,P,2,1,4,5,5,4,3,5,6,5,40,1
386,L,5,3,3,4,3,3,3,3,4,4,35,1
387,L,5,2,4,5,4,2,2,2,4,1,31,1
388,P,5,2,1,5,3,3,2,3,3,5,32,0
389,L,5,3,3,4,3,3,3,3,4,4,35,1
390,P,6,4,5,6,5,4,5,5,6,4,50,1
391,P,4,5,2,6,5,5,5,5,5,5,47,1
392,P,4,1,4,2,2,2,2,4,5,6,32,0
393,P,4,2,3,6,3,3,3,4,5,2,35,1
394,P,2,1,2,2,3,3,2,4,4,2,25,0
395,L,2,2,2,2,2,2,2,2,5,2,23,0
396,L,4,2,2,3,3,3,3,2,5,3,30,0
397,P,1,2,2,4,2,2,2,2,4,3,24,0
398,P,4,2,2,5,3,2,3,3,2,3,29,0
399,P,5,2,2,2,2,2,2,2,2,2,23,0
400,P,5,3,3,2,1,2,1,3,4,3,27,0
401,P,3,2,1,3,3,2,4,5,4,2,29,0
402,P,1,1,1,2,1,1,1,3,3,1,15,0
403,L,2,2,2,1,3,2,5,5,2,5,29,0
404,L,2,2,1,3,3,4,3,2,3,3,26,0
405,P,2,1,6,4,2,2,1,3,3,1,25,0
406,L,4,2,5,6,1,1,3,2,1,3,28,0
407,P,2,2,2,4,4,3,2,3,4,1,27,0
408,P,1,3,2,4,4,2,3,3,3,2,27,0
409,L,2,1,1,2,2,2,2,2,2,2,18,0
410,P,3,3,5,4,2,2,1,5,4,2,31,0
411,P,4,3,2,5,2,2,4,2,5,2,31,0
412,P,5,1,2,1,1,1,2,2,2,2,19,0
413,P,2,2,2,4,2,4,4,3,4,2,29,0
414,P,2,2,2,5,3,2,2,5,4,4,31,0
415,P,4,4,2,3,1,2,1,1,4,3,25,0
416,P,3,2,1,4,3,1,1,3,2,2,22,0
417,P,4,3,2,4,5,2,3,3,4,2,32,0
