No.,Initial,Gender,Age,Class,Smartphone-usage Duration,Social Media Usage,The Most Frequent Access,1,2,3,4,5,6,7,8,9,10,Total,Result
135,C,0,13,2,2,1,2,3,1,2,4,3,3,3,4,5,6,34,1
136,TP,1,14,2,2,1,3,1,2,2,4,2,3,1,3,2,6,26,0
137,N,0,14,1,2,1,3,3,3,3,5,4,4,3,3,4,4,36,1
138,A,0,14,1,3,1,1,5,2,2,6,3,4,3,3,5,3,36,1
139,V,0,13,1,1,1,3,4,6,4,5,4,3,2,3,3,2,36,1
140,P,1,14,1,4,1,2,5,3,2,6,4,1,3,6,6,1,37,1
141,N,0,14,2,3,1,5,1,2,1,2,2,2,5,1,2,1,19,0
142,ZHQ,0,13,1,1,1,3,2,2,2,1,2,2,2,1,2,2,18,0
143,C,0,14,2,2,1,5,4,2,2,5,1,2,3,2,2,2,25,0
144,R,1,13,1,2,1,3,3,3,3,5,4,4,3,4,3,5,37,1
145,THN,0,13,1,4,1,5,3,4,2,6,3,2,3,4,5,5,37,1
146,DA,1,14,2,2,1,1,1,1,1,1,1,1,1,2,1,2,12,0
147,ME,1,14,2,2,1,3,3,2,3,5,1,2,1,2,1,5,25,0
148,D,0,14,2,2,1,3,5,4,3,4,4,3,3,2,4,4,36,1
149,K,0,14,2,2,1,1,2,1,3,3,1,2,4,2,3,2,23,0
150,S,0,13,1,2,1,3,5,4,4,5,3,4,4,4,5,5,43,1
151,LA,1,12,1,2,1,3,3,2,2,3,4,3,3,2,2,2,26,0
152,EP,1,13,1,3,1,2,4,3,2,3,2,2,2,5,4,4,31,1
153,A,0,13,2,2,1,3,4,3,1,5,2,4,4,5,5,5,38,1
154,A,0,13,1,2,1,5,2,2,2,3,2,2,3,2,4,1,23,0
155,RAS,0,14,2,3,1,3,4,2,2,5,4,2,5,3,5,4,36,1
156,A,0,13,1,3,1,5,4,3,4,4,2,2,4,2,2,4,31,0
157,LA,0,13,2,3,1,3,4,3,2,4,4,3,3,3,4,4,34,1
158,T,0,13,1,2,1,3,4,1,2,4,2,1,3,3,4,5,29,0
159,A,0,14,1,3,1,3,6,2,5,5,4,2,5,4,6,6,45,1
160,MSN,1,13,1,3,1,3,1,2,3,4,2,2,1,3,4,5,27,0
161,N,0,14,2,4,1,3,6,5,4,4,3,2,4,3,4,5,40,1
162,N,0,14,1,3,1,3,5,5,5,2,5,2,5,5,1,3,38,1
